accession,summary,title,gpl,ftplink,,,,,Cancer Type,,GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
GSE23988,"This is Phase II Trial of 4courses of 5-fluorouracil, doxorubicin and cyclophosphamide follwed by 4 additional courses of weekly docetaxel and capecitabine administered as Preoperative Therapy for Patients with Locally Advanced Breast Cancer, Stages II and III by US oncology (PROTOCOL 02-103) We performed gene set analysis (GSA) using functionally annotated gene sets corresponding to almost all known biological processes in ER-positive/HER2negative and ER-negative/HER2-negative breast cancer, respectively.",Expression data from breast cancer FNA biopsies from patients (US samples),96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23988/,,,,,Breast Cancer,,GSE23988,978,61,3,0.15625
GSE24185,"Obesity is thought to contribute to worse disease outcome in breast cancer as a result of increased levels of adipocyte-secreted endocrine factors, insulin, and insulin-like growth factors (IGFs) that accelerate tumor cell proliferation and impair treatment response. We examined the effects of patient obesity on primary breast tumor gene expression, by profiling transcription of a set of tumors for which the patients’ body mass index (BMI) was ascertained. Sample profiles were stratified according to patients’ obesity phenotype defined as normal (BMI <25), overweight (BMI 25-29.9), or obese (BMI>30).  Widespread alterations in gene expression were evident in breast tumors from obese patients as compared to tumors from other patients, allowing us to define an obesity-associated cancer transcriptional signature of 662 genes.  Keywords: two group comparison",Gene transcription signature of obesity in breast cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24185/,,,,,Breast Cancer,,GSE24185,978,103,5,0.763157895
GSE2443,Affymetrix U133A comparison of two groups (10 samples each): untreated (androgen-dependent) primary prostate cancer (Gleasons 5-9) and androgen-independent primary prostate cancer.  All samples were microdissected for tumor cells only. Keywords = advanced prostate cancer Keywords = androgen-independence Keywords = laser capture microdissection Keywords = RNA amplification Keywords: other,Prostate cancer - comparison of androgen-dependent and -independent microdissected primary tumor,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2443/,,,,,Prostate Cancer,,GSE2443,978,20,1,1
GSE24468,"Both pro- and anti-mitogenic activities have been ascribed to progesterone receptor (PR) agonists and antagonists in breast cancer cells, however, the transcriptional responses that underlie these paradoxical functions are not apparent. Using non-transformed, normal human mammary epithelial cells (hMECs) engineered to express PR, and standard microarray technology, we defined 2,370 genes that were significantly regulated by the PR agonist R5020. Gene Ontology (GO) analysis revealed that GO-terms involved in inflammation and NF-κB signaling were among the most significantly regulated. Interestingly, on those NF-κB responsive genes that were inhibited by agonist-activated PR, antagonists either (a) mimicked the actions of agonists or (b) reversed the inhibitory actions of agonists.  This difference in pharmacological response could be attributed to the fact that although agonist and antagonist-activated PR is recruited to the promoters of NF-κB responsive promoters, the physical presence of PR tethered to the promoter of some genes is sufficient for transcriptional inhibition whereas on others an agonist-activated PR conformation is required for inhibition of NF-κB signaling.  Importantly, the actions of PR on the latter class of genes were reversed by an AF-2 inhibiting, LXXLL-containing peptide. Consideration of the relative activities of these distinct anti-inflammatory pathways in breast cancer may be instructive with respect to the likely therapeutic activity of PR agonists or antagonists in the treatment of breast cancer.",Elucidation of the Mechanisms by which the Progesterone Receptor Inhibits Inflammatory Responses in Cellular Models of Breast Cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24468/,,,,,Breast Cancer,,GSE24468,978,20,1,1
GSE24514,"Microsatellite instability (MSI), caused by defective mismatch repair, is observed in a subset of colorectal cancers (CRCs). We evaluated somatic mutations in microsatellite repeats of genes chosen based on reduced expression in MSI CRC and existence of a coding mononucleotide repeat.",Expression data from human MSI colorectal cancer and normal colonic mucosa,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24514/,,,,,Colorectal Cancer,,GSE24514,978,49,1,0.441176471
GSE24717,"Given the very substantial heterogeneity of most human cancers, it is likely that most cancer therapeutics will be active in only a small fraction of any population of patients. As such, the development of new therapeutics, coupled with methods to match a therapy with the individual patient, will be critical to achieving significant gains in disease outcome. One such opportunity is the use of expression signatures to identify key oncogenic phenotypes that can serve not only as biomarkers but also as a means of identifying therapeutic compounds that might specifically target these phenotypes. Given the potential importance of targeting tumors exhibiting a stem-like phenotype, we have developed an expression signature that reflects common biological aspects of various stem-like characteristics.  The Consensus Stemness Ranking (CSR) signature is upregulated in cancer stem cell enriched samples, at advanced tumor stages and is associated with poor prognosis in multiple cancer types. Using two independent computational approaches we utilized the CSR signature to identify clinically useful compounds that could target the CSR phenotype. In vitro assays confirmed selectivity of several predicted compounds including topoisomerase inhibitors and resveratrol towards breast cancer cell lines that exhibit a high-CSR phenotype. Importantly, the CSR signature could predict clinical response of breast cancer patients to a neoadjuvant regimen that included a CSR-specific agent.  Collectively, these results suggest therapeutic opportunities to target the CSR phenotype in a relevant cohort of cancer patients.  This SuperSeries is composed of the SubSeries listed below.",Using a Stem Cell-Based Signature to Guide Therapeutic Selection in Cancer,571,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24717/,,,,,Breast Cancer,,GSE24717,978,22,1,0.571428571
GSE24795,"16 replication error proficient (RER-/MSI-) and 14 replication error deficient (RER+/MSI+) colorectal cancer cell lines Replication error deficient (RER+) colorectal cancers are a distinct subset of colorectal cancers, characterised by inactivation of the DNA mismatch repair system.  They are typically pseudodiploid, accumulate mutations in repetitive sequences as a result of their mismatch repair deficiency, and have distinct pathologies.  Regulatory sequences controlling all aspects of mRNA processing, including especially message stability are found in the 3’UTR sequence of most genes.  The relevant sequences are typically A/U rich elements and/or U repeats. Microarray analysis of 14 RER+ (deficient) and 16 RER- (proficient) colorectal cancer (CRC) cell lines confirms a striking difference in expression profiles. Analysis of the incidence of mononucleotide repeat sequences in the 3’UTRs, 5’UTRs and coding sequences of those genes most differentially expressed in RER+ versus – cell lines has shown that much of this differential expression can be explained by the occurrence of a massive enrichment of genes with 3’UTR T repeats longer than 11 base pairs in the most differentially expressed genes. This enrichment was confirmed by analysis of two published consensus sets of RER differentially expressed probe sets for a large number of primary colorectal cancers.   Sequence analysis of the 3’UTRs of a selection of the most differentially expressed genes shows that they all contain deletions in these repeats in all RER+ cell lines studied. These data strongly imply that deregulation of mRNA stability through accumulation of mutations in repetitive regulatory 3’UTR sequences underlies the striking difference in expression profiles between RER+ and RER- colorectal cancers.",Gene Expression differences between replication error deficient and proficient colorectal cancers: the dominant role of deletions in 3’UTR poly T sequences,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24795/,,,,,Colorectal Cancer,,GSE24795,978,30,1,0.875
GSE25011,Time series of eleven breast cancer samples subjected to different cold ischemic stress of up to 3 hr post tumor excision. A different 2x2 factorial within this study evaluated the effect of stabilization method (RNAlater vs snap freezing) and stablization delay (0 and 40 min) at room temperature.,Study for evaluating the effect of cold ischemic time and RNA stabilization method on RNA integrity and gene expression measurements,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25011/,,,,,Breast Cancer,,GSE25011,978,86,1,0.523809524
GSE25055,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer. METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25055/,,,,,Breast Cancer,,GSE25055,978,310,9,0.202614379
GSE25065,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer. METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25065/,,,,,Breast Cancer,,GSE25065,978,198,12,0.10989011
GSE25066,This SuperSeries is composed of the SubSeries listed below.,Genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25066/,,,,,Breast Cancer,,GSE25066,978,508,7,0.168032787
GSE25136,"The derivation of molecular signatures indicative of disease status and predictive of subsequent behavior could facilitate the optimal choice of treatment for prostate cancer patients. In this study, we conducted a computational analysis of gene expression profile data obtained from 79 cases, 39 of which were classified as having disease recurrence, to investigate whether advanced computational algorithms can derive more accurate prognostic signatures for prostate cancer.  At the 90% sensitivity level, a newly derived prognostic genetic signature achieved 85% specificity. This is the first reported genetic signature to outperform a clinically used postoperative nomogram. Furthermore, a hybrid prognostic signature derived by combination of the nomogram and gene expression data significantly outperformed both genetic and clinical signatures, and achieved a specificity of 95%.  Our study demonstrates the feasibility of utilizing gene expression information for highly accurate prostate cancer prognosis beyond the current clinical systems, and shows that more advanced computational modeling of tissue-derived microarray data is warranted before clinical application of molecular signatures is considered.",Optimizing molecular signatures for prostate cancer recurrence,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25136/,,,,,Prostate Cancer,,GSE25136,978,79,1,0.975
GSE25428,"Epithelial ovarian cancer is the leading cause of death among gynecologic malignancies.  Diagnosis usually occurs after metastatic spread, largely reflecting vague symptoms of early disease combined with lack of an effective screening strategy.  Epigenetic mechanisms of gene regulation, including DNA methylation, are fundamental to normal cellular function and also play a major role in carcinogenesis. To elucidate the biological and clinical relevance of DNA methylation in ovarian cancer, we conducted expression microarray analysis of 39 cell lines and 17 primary culture specimens grown in the presence or absence of DNA methyltransferase (DNMT) inhibitors. Two parameters, induction of expression and standard deviation among untreated samples, identified 378 candidate methylated genes, many relevant to TGF-beta signaling. We analyzed 43 of these genes and they all exhibited methylation.  Treatment with DNMT inhibitors increased TGF-beta pathway activity. Hierarchical clustering of ovarian cancers using the 378 genes reproducibly generated a distinct gene cluster strongly correlated with TGF-beta pathway activity that discriminates patients based on age. These data suggest that accumulation of age-related epigenetic modifications leads to suppression of TGF-beta signaling and contributes to ovarian carcinogenesis.  The cancer stem cell hypothesis posits that malignant growth arises from a rare population of progenitor cells within a tumor that provide it with unlimited regenerative capacity. Such cells also possess increased resistance to chemotherapeutic agents.  Resurgence of chemoresistant disease following primary therapy typifies epithelial ovarian cancer and may be attributable to residual cancer stem cells, or cancer initiating cells, that survive initial treatment.  As the cell surface marker CD133 identifies cancer initiating cells in a number of other malignancies, we sought to determine the potential role of CD133+ cells in epithelial ovarian cancer.  We detected CD133 on ovarian cancer cell lines, in primary cancers, and on purified epithelial cells from ascitic fluid of ovarian cancer patients. We found CD133+ ovarian cancer cells generate both CD133+ and CD133- daughter cells, whereas CD133- cells divide symmetrically. CD133+ cells exhibit enhanced resistance to platinum-based therapy, drugs commonly used as first line agents for treatment of ovarian cancer.  Sorted CD133+ ovarian cancer cells also form more aggressive tumor xenografts at a lower inoculum than their CD133- progeny. Epigenetic changes may be integral to the behavior of cancer progenitor cells and their progeny.  In this regard, we found that CD133 transcription is controlled by both histone modifications and promoter methylation. Sorted CD133- ovarian cancer cells treated with DNA methyltransferase and histone deacetylase inhibitors show a synergistic increase in cell surface CD133 expression.  Moreover, DNA methylation at the ovarian tissue active P2 promoter is inversely correlated with CD133 transcription.  We also found that promoter methylation increases in CD133- progeny of CD133+ cells, with CD133+ cells retaining a less methylated or unmethylated state. Taken together, our results show that CD133 expression in ovarian cancer is directly regulated by epigenetic modifications and support the idea that CD133 demarcates an ovarian cancer initiating cell population.  The activity of these cells may be epigenetically detected and such cells might serve as pertinent chemotherapeutic targets for reducing disease recurrence.",Gene expression profiles of ovarian cancer cell lines in the presence and absence of a DNA methyltransferase inhibitor,3921,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25428/,,,,,Ovarian Cancer,,GSE25428,978,95,1,0.022727273
GSE25458,"Invasion into deep myometrium and/or lymphovascular space is a well-known risk factor for endometrial cancer metastasis, resulting in poor prognosis. It is therefore clinically important to identify novel molecules that suppress tumor invasion. Reduced expression of the metastasis suppressor, KISS1 (kisspeptin), and its endogenous receptor, GPR54, has been reported in several cancers, but the significance of the KISS1/GPR54 axis in endometrial cancer metastasis has not been clarified. Metastin-10 is the minimal bioactive sequence of genetic products of KISS1. Clinicopathological analysis of 92 endometrial cancers revealed overall survival is improved in cancers with high expression of GPR54. Through RNAi and mousemodel analyses, metastin-10 was predicted to suppress invasion and metastasis of GPR54-expressing endometrial cancers. These data suggest that metastin-10 may induce genetic changes in the metastatic character of endometrial cancers.",Gene expression in endometrial cancer cells treated with metastin-10 (kp10),570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25458/,,,,,Endometrial Cancer,,GSE25458,978,12,2,1
GSE25487,"MDAMB231 cells express the SV40TAg signature.  The normal mammary epithelial tissue does not express the signature. CK0082, Empty1 and Gata3 samples are not reported in this manuscript","Expression of SV40 TAg signature in MDAMB231 cells, tumors, and normal human mammary epithelial cells (M98040 and M99005)",570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25487/,,,,,[],,GSE25487,978,21,1,0.2
GSE26027,"With a view to developing novel biomarkers of the efficacy of radiotherapy in patients with rectal cancer, we measured gene expression profiles on biopsies taken before and during preoperative radiotherapy. Repeat biopsy did not increase toxicity. Radiotherapy induced the expression of genes involved in oxidative stress, signal transduction, apoptosis and immune response. ",Early dynamic transcriptomic changes as predictors of preoperative radiotherapy efficacy in patients with rectal cancer: a feasibility study.,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26027/,,,,,Rectal Cancer,,GSE26027,978,12,1,1
GSE26309,"Stable knockdown of NET1, a RhoGEF, was achieved in AGS Gastric Cancer cells.  This gene is known to be overexpressed in the disease. Knockdown was achieved using lentiviral shRNA particles.  Gene expression was compared between knockdown and scrambled shRNA treated control cells. Cells were treated with and without LPA, a known activator of RhoA.",A Transcriptomic Analysis of NET1 (a RhoA GEF Exchange Factor) in AGS Gastric Cancer Cells,571,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26309/,,,,,Gastric Cancer,,GSE26309,978,12,1,1
GSE26511,"Purpose: Presence of pelvic lymph node metastases is the main prognostic factor in early stage cervical cancer patients, primarily treated with surgery. Aim of this study was to identify cellular tumor pathways associated with pelvic lymph node metastasis in early stage cervical cancer. Experimental Design: Gene expression profiles (Affymetrix U133 plus 2.0) of 20 patients with negative (N0) and 19 with positive lymph nodes (N+), were compared with gene sets that represent all 285 presently available pathway signatures. Validation immunostaining of tumors of 274 consecutive early stage cervical cancer patients was performed for representatives of the identified pathways. Results: Analysis of 285 pathways resulted in identification of five pathways (TGF-β, NFAT, ALK, BAD, and PAR1) that were dysregulated in the N0, and two pathways (β-catenin and Glycosphingolipid Biosynthesis Neo Lactoseries) in the N+ group. Class comparison analysis revealed that five of 149 genes that were most significantly differentially expressed between N0 and N+ tumors (P<0.001) were involved in β-catenin signaling (TCF4, CTNNAL1, CTNND1/p120, DKK3 and WNT5a). Immunohistochemical validation of two well-known cellular tumor pathways (TGF-β and β-catenin) confirmed that the TGF-β pathway (positivity of Smad4) was related to N0 (OR:0.20, 95%CI:0.06-0.66) and the β-catenin pathway (p120 positivity) to N+ (OR:1.79, 95%CI:1.05-3.05). Conclusions: Our study provides new, validated insights in the molecular mechanism of lymph node metastasis in cervical cancer. Pathway analysis of the microarray expression profile suggested that the TGF-β and p120-associated non-canonical β-catenin pathways are important in pelvic lymph node metastasis in early stage cervical cancer.",Involvement of the TGF-β and β-catenin pathways in pelvic lymph node metastasis in early stage cervical cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26511/,,,,,Cervical Cancer,,GSE26511,978,39,2,0.95
GSE26712,"To identify a prognostic gene signature accounting for the distinct clinical outcomes in ovarian cancer patients Despite the existence of morphologically indistinguishable disease, patients with advanced ovarian tumors display a broad range of survival end points. We hypothesize that gene expression profiling can identify a prognostic signature accounting for these distinct clinical outcomes. To resolve survival-associated loci, gene expression profiling was completed for an extensive set of 185(90 optimal/95 suboptimal) primary ovarian tumors using the Affymetrix human U133A microarray. Cox regression analysis identified probe sets associated with survival in optimally and suboptimally debulked tumor sets at a P value of <0.01. Leave-one-out cross-validation was applied to each tumor cohort and confirmed by a permutation test. External validation was conducted by applying the gene signature to a publicly available array database of expression profiles of advanced stage suboptimally debulked tumors. The prognostic signature successfully classified the tumors according to survival for suboptimally (P = 0.0179) but not optimally debulked (P = 0.144) patients. The suboptimal gene signature was validated using the independent set of tumors (odds ratio, 8.75; P = 0.0146). To elucidate signaling events amenable to therapeutic intervention in suboptimally debulked patients, pathway analysis was completed for the top 57 survival-associated probe sets. For suboptimally debulked patients, confirmation of the predictive gene signature supports the existence of a clinically relevant predictor, as well as the possibility of novel therapeutic opportunities. Ultimately, the prognostic classifier defined for suboptimally debulked tumors may aid in the classification and enhancement of patient outcome for this high-risk population.",A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26712/,,,,,Ovarian Cancer,,GSE26712,978,195,1,0.947368421
GSE26834,"Although estrogen receptor (ER) and insulin-like growth factor (IGF) signaling are important for normal mammary development and breast cancer, cross-talk between these pathways, particularly at the level of gene transcription, remains poorly understood.  We performed microarray analysis on MCF-7 breast cancer cells treated with estradiol (E2) or IGF-I for 3hr or 24hr.  IGF-I regulated mRNA of 5-10-fold more genes than estradiol, and many genes were co-regulated by both ligands.  Importantly, expression of these co-regulated genes correlated with poor prognosis of human breast cancer.  Closer examination revealed enrichment of repressed transcripts.  Interestingly, a number of potential tumor suppressors were down-regulated by IGF-I and estradiol.  In fact, BLNK, one of the top repressed genes, is a potential growth suppressor in breast cancer cells.  Analysis of three down-regulated genes showed that E2-mediated repression occurred independently of IGF-IR, and IGF-I-mediated repression occurred independently of ER.  However, repression by IGF-I or estradiol required common downstream kinases.  In conclusion, E2 and IGF-I co-regulate a set of genes that affect breast cancer outcome.  There is enrichment of repressed transcripts, and the down-regulation is independent at the receptor level.  This may be important clinically, as tumors with active ER and IGF-IR signaling may require co-targeting of both pathways. KEYWORDS: multiple group comparison",Expression data from MCF-7 cells stimulated by Estrogen or IGF-I,571,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26834/,,,,,Breast Cancer,,GSE26834,978,17,1,0.888888889
GSE26910,"Primary tumor growth induces host tissue responses that are believed to support and promote tumor progression. Identification of the molecular characteristics of the tumor microenvironment and elucidation of its crosstalk with tumor cells may therefore be crucial for improving our understanding of the processes implicated in cancer progression, identifying potential therapeutic targets, and uncovering stromal gene expression signatures that may predict clinical outcome. A key issue to resolve, therefore, is whether the stromal response to tumor growth is largely a generic phenomenon, irrespective of the tumor type, or whether the response reflects tumor-specific properties. To address similarity or distinction of stromal gene expression changes during cancer progression, oligonucleotide-based Affymetrix microarray technology was used to compare the transcriptomes of laser-microdissected stromal cells derived from invasive human breast and prostate carcinoma. Invasive breast and prostate cancer-associated stroma was observed to display distinct transcriptomes, with a limited number of shared genes. Interestingly, both breast and prostate tumor-specific dysregulated stromal genes were observed to cluster breast and prostate cancer patients, respectively, into two distinct groups with statistically different clinical outcomes. By contrast, a gene signature that was common to the reactive stroma of both tumor types did not have survival predictive value. Univariate Cox analysis identified genes whose expression level was most strongly associated with patient survival. Taken together, these observations suggest that the tumor microenvironment displays distinct features according to the tumor type that provides survival-predictive value.",Stromal molecular signatures of breast and prostate cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26910/,,,,,Prostate Cancer,,GSE26910,978,24,1,1
GSE27020,"Background: Local recurrence is the major manifestation of treatment failure in patients with operable laryngeal carcinoma. Established clinicopathological factors cannot sufficiently predict patients that are likely to recur after treatment. Additional tools are therefore required to accurately identify patients at high risk for recurrence.  Methods: Using Affymetrix U133A Genechips, we profiled fresh-frozen tumor tissues from 59 patients with operable laryngeal cancer. All patients were treated locally with surgery, with or without radiation therapy. We performed Cox regression proportional hazards modeling to identify multigene predictors of recurrence. The end-point of our analysis was disease-free survival (DFS). Gene models were directly validated in a separate, similarly treated cohort of 50 patients using Affymetrix chips. In an attempt to further validate our results, we profiled 12 selected genes of our model in formalin-fixed tumor tissues from an independent cohort of 75 patients, using quantitative real time-polymerase chain reaction (qRT-PCR).   Results: We focused on genes univariately associated with DFS (p<0.05) in the training set. Among several gene models comprising different numbers of genes, a 30-gene model demonstrated optimal performance (log-rank, p<0.001). We directly applied these gene models to the validation set, after adjusting for non-biological experimental variability, and observed similar results. Specifically, median DFS, as predicted by the 30-gene model, was 34 and 80 months for high- and low-risk patients, respectively (p=0.01). Hazard Ratio (HR) for recurrence for the high-risk group was 3.87 (95% CI 1.28-11.73, p=0.017). Furthermore, unsupervised hierarchical clustering of the 75 patients, based on the qRT-PCR 12-gene profile, yielded two groups, which differed significantly in DFS (log-rank, p=0.027). HR= for recurrence was 2.26, (95% CI 1.08-4.76, p=0.031).  Conclusion: We have established and validated gene models that can successfully stratify patients with laryngeal cancer, based on their risk for recurrence. Thus, patients with unfavorable prognosis, when accurately identified, could be ideal candidates for the application of more aggressive treatment modalities.",Identification and validation of a multigene predictor of recurrence in primary laryngeal cancer.,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27020/,,,,,[],,GSE27020,978,109,2,0.453333333
GSE27120,"Purpose: There is growing evidence that interaction between stromal and tumor cells is pivotal in breast cancer progression and response to therapy. Since the pioneer work of Allinen et al. suggested that during breast cancer progression striking changes occur in CD10+ stromal cells, we aimed to better characterize this cell population and its clinical relevance. Results: This 12-gene CD10+ stroma signature includes among others genes involved in matrix remodeling (MMP11, MMP13, COL10A1) and genes related to osteoblast differentiation (periostin). The co-culture experiments demonstrated all three CD10+ cell types contribute to the CD10+ stroma signature. Of interest, this signature demonstrated an important role in differentiating in situ from invasive breast cancer, in prognosis of the HER2+ subpopulation of breast cancer only, and potentially in non-response to chemotherapy for those patients. Conclusions: Our results highlight the importance of CD10+ cells in breast cancer prognosis and efficacy of chemotherapy, particularly within the HER2+ breast cancer disease.",Characterization and clinical evaluation of CD10+ stroma cells in the breast cancer microenvironment,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27120/,,,,,Breast Cancer,,GSE27120,978,79,1,0.107142857
GSE27262,This study focus on the expression signature between tumor and adjacent normal tissues.,Gene expression profiling of Non-small cell lung cancer in Taiwan,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27262/,,,,,Lung Cancer ,,GSE27262,978,50,2,0.24
GSE27431,"MicroRNAs (miRNAs) are short (~22 nucleotides) regulatory RNAs that can modulate gene expression and are aberrantly expressed in many diseases including cancer. Previous studies have shown that miRNAs inhibit the translation and facilitate the degradation of their targeted mRNAs making them attractive candidates for use in cancer therapy. However, the potential clinical utility of miRNAs in cancer therapy rests heavily upon our ability to understand and accurately predict the consequences of fluctuations in levels of miRNAs within the context of complex tumor cells. To evaluate the predictive power of current models, levels of miRNAs and their targeted messenger RNAs (mRNAs) were measured in laser captured micro-dissected (LCM) ovarian cancer epithelial cells (CEPI) and compared with levels present in ovarian surface epithelial cells (OSE). We found that the predicted inverse correlation between changes in levels of miRNAs and levels of their mRNA targets held for only ~6-11% of predicted target mRNAs. Our results underscore the complexities of miRNA-mediated regulation in vivo and caution against the widespread clinical application of miRNAs and miRNA inhibitors until the basis of these complexities is more fully understood.","miRNAs in ovarian cancer: A systems approach (MAS5, plier, GCRMA)",570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27431/,,,,,Ovarian Cancer,,GSE27431,978,30,1,0.4
GSE27489,We investigated whether biomarker analysis in endobronchial epithelial lining fluid (ELF) collected by bronchoscopic microsampling may be useful for a definitive preoperative diagnosis. Therefore we compared ELF samples close to nodule and from the contralateral site from patients with malignant or benign diagnosis.,SCREENING STUDY TO IDENTIFY DIAGNOSTIC MARKERS FOR LUNG CANCER IN ENDOBRONCHIAL LINING FLUID,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27489/,,,,,Lung Cancer ,,GSE27489,978,30,2,1
GSE27562,"We analyzed gene expression in human peripheral blood mononuclear cells (PBMCs) from breast cancer patients, patients with benign breast abnormalities, healthy cancer-free individuals as well as patients with other types of cancer (gastrointestinal and brain cancers).",Expression data from human PBMCs from breast cancer patients and controls,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27562/,,,,,Brain Cancer,,GSE27562,978,162,1,0.263157895
GSE27651,"Low-grade serous ovarian carcinoma is believed to arise from serous borderline ovarian tumors, yet the progression from serous borderline tumors to low-grade serous ovarian carcinoma remains poorly understood. The purpose of this study was to identify differentially expressed genes between the two groups. Expression profiles were generated from 6 human ovarian surface epithelia (HOSE), 8 serous borderline ovarian tumors (SBOT), 13 low-grade serous ovarian carcinomas (LG), and 22 high-grade serous ovarian carcinomas (HG). The anterior gradient homolog 3 (AGR3) gene was found to be highly upregulated in serous borderline ovarian tumors; this finding was validated by real-time quantitative RT-PCR, Western blotting, and immunohistochemistry. Anti-AGR3 immunohistochemistry was performed on an additional 56 LG and 103 HG tissues and the results were correlated with clinical data.  Expression profiling determined that 1254 genes were differentially expressed (P < 0.005) between SBOT, LG and HG tumors. Serous borderline ovarian tumors exhibited robust positive staining for AGR3, with a lower percentage of tumor cells stained in LG and HG. Immunofluorescence staining indicated that AGR3 expression was limited to ciliated cells. Tumor samples with a high percentage (>10%) of AGR3 positively stained tumor cells were associated with improved longer median survival in both the LG (P = 0.013) and HG (P = 0.008) serous ovarian carcinoma groups. The progression of serous borderline ovarian tumors to low-grade serous ovarian carcinoma may involve the de-differentiation of ciliated cells. AGR3 could serve as a prognostic marker for survival in patients with low-grade and high-grade serous ovarian carcinomas. ",The Anterior Gradient Homolog 3 (AGR3) Gene Is Associated with Differentiation and Survival in Ovarian Cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27651/,,,,,Ovarian Cancer,,GSE27651,978,49,1,0.272727273
